"job_id","job_title","salary_year_avg","company_name","skills"
1207378,"Lyon - Data Analyst H/F","45000.0","ALTEN","tableau"
1207378,"Lyon - Data Analyst H/F","45000.0","ALTEN","power bi"
83858,"Junior Business Data Analyst","49566.5","The Fork","sql"
83858,"Junior Business Data Analyst","49566.5","The Fork","excel"
83858,"Junior Business Data Analyst","49566.5","The Fork","tableau"
532380,"Data Analyst Marketing - H/F","51014.0","Showroomprive.com","sql"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","sql"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","python"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","r"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","bigquery"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","airflow"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","tableau"
1057799,"Data Analyst - Strategy & Operations","51014.0","Foxintelligence","github"
1422788,"Assistant Data Analyst/Planner (F/H) - Alternance","53014.0","Publicis Groupe","excel"
1422788,"Assistant Data Analyst/Planner (F/H) - Alternance","53014.0","Publicis Groupe","word"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","sql"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","sas"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","azure"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","snowflake"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","gcp"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","sas"
1569433,"Data analyst SAS H/F","53014.0","Business & Decision","qlik"
411106,"Research Data Analyst","53014.0","Binance","sql"
411106,"Research Data Analyst","53014.0","Binance","python"
411106,"Research Data Analyst","53014.0","Binance","graphql"
1031967,"Ingénieur Industriel Data Analyst H/F","53014.0","ALTEN","tableau"
1031967,"Ingénieur Industriel Data Analyst H/F","53014.0","ALTEN","power bi"
1090494,"HR Data Analyst (H/F)","53014.0","Believe","azure"
211528,"Junior Data Analyst - Dailymotion Advertising (All Genders)","53014.0","Dailymotion","sql"
211528,"Junior Data Analyst - Dailymotion Advertising (All Genders)","53014.0","Dailymotion","python"
211528,"Junior Data Analyst - Dailymotion Advertising (All Genders)","53014.0","Dailymotion","tableau"
